     Alt            CO2               CO                O                N2                H2               H              Ar             He                  H2O
   514.000000       684.339355       1128.28284       83058944.0       773.686035       3532.64600       794227.875       847.117371       116577.336       817.087891    
   517.000000       750.767944       1237.80347       91121752.0       848.787109       3875.55444       873205.750       929.346375       127893.305       896.409119    
   520.000000       750.807190       1237.80347       91122528.0       848.814575       3875.55444       958583.938       929.379272       127893.305       896.737305    
   523.000000       827.510559       1364.26062       100432176.       935.530823       4271.49072       1053864.38       1024.32605       140959.219       988.341003    
   526.000000       827.549927       1364.26062       100432840.       935.558411       4271.49072       1156719.75       1024.35913       140959.219       988.670776    
   529.000000       912.389282       1504.12512       110729512.       1031.47131       4709.40527       1271552.62       1129.37561       155410.391       1090.01880    
   532.000000       912.429260       1504.12512       110730080.       1031.49915       4709.40527       1396033.62       1129.40894       155410.391       1090.35229    
   535.000000       1006.00183       1658.38074       122086248.       1137.28345       5192.37842       1534088.75       1245.23425       171348.516       1202.16089    
   538.000000       1006.04199       1658.38074       122086736.       1137.31152       5192.37842       1684273.50       1245.26782       171348.516       1202.49707    
   541.000000       1006.07819       1658.38074       122087152.       1137.33691       5192.37842       1847651.12       1245.29822       171348.516       1202.80090    
   544.000000       1158.81262       1910.17542       140623920.       1310.00671       5980.74658       2033222.38       1434.35718       197364.641       1385.25574    
   547.000000       1158.85254       1910.17542       140624304.       1310.03455       5980.74658       2230499.25       1434.39050       197364.641       1385.58972    
   550.000000       1158.88916       1910.17542       140624640.       1310.05994       5980.74658       2447500.50       1434.42102       197364.641       1385.89514    
   553.000000       1158.92200       1910.17542       140624912.       1310.08301       5980.74658       2683986.50       1434.44861       197364.641       1386.17175    
   556.000000       1395.78735       2300.64819       169371040.       1577.85986       7203.31445       2956784.25       1727.64270       237709.391       1669.20752    
   559.000000       1395.82715       2300.64819       169371312.       1577.88757       7203.31445       3243012.50       1727.67590       237709.391       1669.54016    
   562.000000       1395.86328       2300.64819       169371568.       1577.91272       7203.31445       3556121.00       1727.70618       237709.391       1669.84314    
   565.000000       1395.89612       2300.64819       169371776.       1577.93579       7203.31445       3898745.50       1727.73364       237709.391       1670.11877    
   568.000000       1395.92603       2300.64819       169371936.       1577.95667       7203.31445       4272951.00       1727.75854       237709.391       1670.36951    
   571.000000       1758.24292       2897.88037       213339616.       1987.54443       9073.24316       4716588.50       2176.22607       299417.094       2103.52148    
   574.000000       1758.28235       2897.88037       213339808.       1987.57178       9073.24316       5170159.00       2176.25903       299417.094       2103.85083    
   577.000000       1758.31799       2897.88037       213339968.       1987.59692       9073.24316       5665557.00       2176.28882       299417.094       2104.15015    
   580.000000       1758.35034       2897.88037       213340096.       1987.61938       9073.24316       6206163.50       2176.31592       299417.094       2104.42261    
   583.000000       1758.38013       2897.88037       213340240.       1987.64014       9073.24316       6797858.50       2176.34082       299417.094       2104.67114    
   586.000000       1758.40686       2897.88037       213340336.       1987.65894       9073.24316       7440883.00       2176.36328       299417.094       2104.89624    
